id,title,description
1,"Bán Vespa Sprint 125cc 2024 xanh dương, xe đẹp 95%","Bán xe #Vespa Sprint 125cc. Mua mới tại #Topcom 01/2024, Xe chính chủ. Chạy được 14.000km. Giá: 66tr(TL). Anh/chị quan tâm nhắn Zalo số: ***. Công chứng Hợp đồng mua bán trong ngày."
2,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,"bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125"
3,Bán Xe Vespa Sprint gấp giá rẻ,"Xe Vespa Piggio Sprint 2019 mới 99%
Xe nữ chạy còn rất mới. Mình không có nhu cầu đi xe bán lại giá tốt cho ai cần 
Xe biển số sài gòn, trùm mền để nhà chạy chỉ mới chạy 7.283km
Ai cần ib bán nhanh gọn cho người thiện chí
Xem xe Quận 12
Lh ***"
4,Wave hàn còn mới giá rẻ cho ae,"Wave hàn bstp, xe còn mới, giấy tờ đầy đủ"
5,CHÍNH CHỦ Cần bán Yamaha Exciter 2014 không côn,"Xe Yamaha Exciter không côn tay 4 số, máy êm, sang số mượt
Dàn áo kiểu Exciter 2014, màu xanh đen thể thao
Giấy tờ đăng ký đầy đủ, biển số 92, chính chủ, sang tên dễ dàng 
Không đâm đụng, không ngập nước
Xe đi kỹ, phù hợp đi học – đi làm – đi chơi

Lý do bán: Không còn nhu cầu đi xe số, muốn đổi sang xe tay ga để tiện chở con đi học 

Giá bán: 23 triệu (có thương lượng nhẹ)
Xem xe tại: Nhà Thiếu Nhi Quận 4 – 405 Hoàng Diệu, P.2, Q.4, TP.HCM
Liên hệ trước khi đến: Lượng – ko be 6.226. tám chín 22"
6,Xe Honda vision 2021 special edition,"Xe cũ đang sử dụng, nhà đang đi. Biển số Vũng Tàu. Nhà ở Sài Gòn"
7,Bán Nouvo 5 giấy tờ theo xe bs Sài Gòn,"Bán Nouvo 5 giấy tờ đầy đủ bs Sài Gòn máy móc ko lổi lầm cực ngon xe bảo dưỡng hàng tháng 
Anh chị mua alo em"
8,Nouvo 4 xe zin cục máy cực kỳ chất bao ngon,"- No4 bs 62 cà vẹc đầy đủ bao tranh chấp
- Dàn áo sơn zin tem zin còn rất đẹp không gãy bể
- Cục máy khỏi bàn êm ru chạy cực nhẹ luôn granty nhuyễn nhừ thì thầm dám bao
- Chức năng đầy đủ mua về là đi
- Tiền nào của nấy xe mình xe zin máy chất xin đừng so sánh xe dập dùm
- Địa chỉ : 572A / 16D Trần Hưng Đạo P2Q5 ( Khu Phố 3, đầu hẻm có Khách Sạn Bonita, vô hẻm gặp ngã 3 đầu tiên rẻ phải, tới số 16 có hẻm nhỏ kế bên đi hết hẻm nhà trong cùng có cổng rào màu vàng )"
9,Đổi xe khác cần bán Air Blade 2015 đã lên smartkey,"Airblade đã lên smartkey sh xịn. Bstp dễ thương 98698 chính chủ ký ủy quyền hay mua bán đều được 
 √ Ốc tán sáng trưng 
√ Máy móc êm nguyên zin ( bao test) 
√ Dàn áo mới lột keo còn đẹp long lanh 
Miễn tiếp cò lái"
10,Cần bán Vario 150cc 2017 chính chủ,"Xe chính chủ nguyên zin vừa bảo dưỡng cấp lớn 50 nghìn km bao gồm kiểm tra vệ sinh nồi, thay nhớt máy nhớt số, thay nước mát, thay dây curoa, thay lốp, thay bố thắng. Có dán keo nguyên xe"
